百花西路15号,2室2厅1厨1卫,55.13㎡,,低楼层 (共5层),南,160万,29023元/平米,2000年
百花西路19号院,2室1厅1厨1卫,63.09㎡,,高楼层 (共6层),北,150万,23776元/平米,未知年建
翠微清波B区,3室2厅1厨1卫,118㎡,,低楼层 (共18层),西,290万,24577元/平米,2009年
兴城融域,3室2厅1厨2卫,106.85㎡,,中楼层 (共11层),东,150万,14039元/平米,2009年
金沙愉景二期,3室2厅1厨1卫,90.25㎡,,高楼层 (共17层),南,162万,17951元/平米,2009年
长顺南苑,2室1厅1厨1卫,76.64㎡,,高楼层 (共7层),东,105万,13701元/平米,2002年
锦绣光华,2室2厅1厨1卫,81.58㎡,,低楼层 (共20层),东,124万,15200元/平米,2010年
优品道三期,2室2厅1厨1卫,88.32㎡,,高楼层 (共23层),南,232万,26269元/平米,2010年
中大君悦金沙五期,3室2厅1厨1卫,87.24㎡,,低楼层 (共18层),西北,240万,27511元/平米,2012年
凯德风尚,2室2厅1厨1卫,93.18㎡,,高楼层 (共19层),西,198万,21250元/平米,2012年
天邑花园,3室2厅1厨2卫,114.62㎡,,低楼层 (共9层),西南,197万,17188元/平米,2002年
中华家园西区,4室2厅1厨2卫,149.8㎡,,低楼层 (共6层),东,338万,22564元/平米,2004年
长顺南苑,2室1厅1厨1卫,76.64㎡,,高楼层 (共7层),东,105万,13701元/平米,2002年
万科金色领域,3室2厅1厨2卫,87.96㎡,,高楼层 (共24层),东,195万,22170元/平米,2012年
金阳易诚国际,2室2厅1厨1卫,59.23㎡,,低楼层 (共22层),南,120万,20261元/平米,2010年
知贤坊,2室1厅1厨1卫,56.89㎡,,高楼层 (共18层),南,130万,22852元/平米,2009年
保利香槟光华,2室1厅1厨1卫,56㎡,,低楼层 (共16层),东,125万,22322元/平米,2014年
福珠苑,4室2厅1厨2卫,145.09㎡,,高楼层 (共7层),西,202万,13923元/平米,2000年
鼓楼南街99号,2室2厅1厨1卫,85.35㎡,,低楼层 (共16层),南,140万,16404元/平米,2000年
北大花园,3室2厅1厨2卫,136.32㎡,,高楼层 (共10层),西北,210万,15405元/平米,2002年
上池正街,3室1厅1厨1卫,79.9㎡,,低楼层 (共7层),南,132万,16521元/平米,1997年
齐力花园,3室2厅1厨2卫,133.86㎡,,低楼层 (共7层),北,275万,20544元/平米,2002年
狮子巷56号,2室1厅1厨1卫,64.77㎡,,高楼层 (共6层),东,85万,13124元/平米,1992年
乐摩筑,1室1厅1厨1卫,46.63㎡,,低楼层 (共26层),东,88万,18872元/平米,2010年
财富领地,1室1厅1厨1卫,59.98㎡,,高楼层 (共34层),东南,106万,17673元/平米,2010年
朗基龙堂,1室1厅1厨1卫,52.51㎡,,高楼层 (共32层),北,130万,24758元/平米,2010年
优品道二期,4室2厅1厨3卫,231㎡,,高楼层 (共18层),南,595万,25758元/平米,2010年
